"o.sites","year","cheatgrass","sagebrush","Feb.minT","AprMay.maxT","pres.j1","pres.j2","pres.j3","observer.j1","observer.j2","observer.j3"
26,2015,12.9,3.5,-6.7,31.1,0,0,0,"tech.3","tech.4","tech.2"
27,2015,17.9,0.9,-6.7,31.1,0,0,0,"tech.2","tech.3","tech.1"
28,2015,10.2,3.4,-6.7,31.1,1,0,0,"tech.1","tech.3","tech.1"
29,2015,9.2,0.5,-6.7,31.1,0,0,0,"tech.3","tech.4","tech.3"
30,2015,6.5,1.4,-6.7,31.1,0,1,1,"tech.1","tech.1","tech.2"
31,2015,13.6,4.4,-6.7,31.1,0,0,0,"tech.3","tech.2","tech.1"
32,2015,6.7,0.6,-6.7,31.1,1,1,0,"tech.1","tech.1","tech.3"
33,2015,11.8,11.7,-6.7,31.1,0,0,1,"tech.4","tech.1","tech.3"
34,2015,13.7,3.3,-6.7,31.1,0,0,0,"tech.2","tech.3","tech.1"
35,2015,26.9,0.2,-6.7,31.1,0,0,0,"tech.3","tech.3","tech.3"
36,2015,1.2,1.9,-6.7,31.1,0,0,0,"tech.3","tech.4","tech.2"
37,2015,12.9,2.4,-6.7,31.1,0,0,0,"tech.1","tech.2","tech.1"
38,2015,10,0.1,-6.7,31.1,0,0,0,"tech.3","tech.4","tech.3"
39,2015,10.8,0,-6.7,31.1,0,0,0,"tech.4","tech.1","tech.4"
40,2015,6.9,0,-6.7,31.1,0,0,0,"tech.2","tech.1","tech.3"
41,2015,16.1,7.3,-6.7,31.1,0,0,0,"tech.4","tech.2","tech.1"
42,2015,9.1,3.4,-6.7,31.1,0,0,1,"tech.2","tech.4","tech.1"
43,2015,5,0.9,-6.7,31.1,0,0,0,"tech.2","tech.2","tech.2"
44,2015,12.3,8.5,-6.7,31.1,0,1,0,"tech.3","tech.2","tech.3"
45,2015,6.7,2.9,-6.7,31.1,0,1,0,"tech.2","tech.1","tech.2"
46,2015,6.6,0.8,-6.7,31.1,0,0,0,"tech.1","tech.1","tech.1"
47,2015,11.1,0.8,-6.7,31.1,0,0,0,"tech.2","tech.3","tech.2"
48,2015,10.6,2.2,-6.7,31.1,0,0,0,"tech.3","tech.2","tech.4"
49,2015,11,0.6,-6.7,31.1,0,0,0,"tech.2","tech.4","tech.2"
50,2015,18.6,3.6,-6.7,31.1,1,0,0,"tech.2","tech.1","tech.4"
51,2015,21.7,2.1,-6.7,31.1,0,0,0,"tech.1","tech.3","tech.4"
52,2015,8.7,0.9,-6.7,31.1,0,0,0,"tech.4","tech.4","tech.1"
53,2015,12.3,1.4,-6.7,31.1,0,1,0,"tech.4","tech.4","tech.2"
54,2015,11.7,6.3,-6.7,31.1,1,1,0,"tech.3","tech.1","tech.4"
55,2015,13.8,0,-6.7,31.1,0,0,0,"tech.4","tech.3","tech.1"
56,2015,16.6,1.9,-6.7,31.1,0,0,0,"tech.1","tech.4","tech.1"
57,2015,7.1,1.5,-6.7,31.1,0,0,0,"tech.1","tech.2","tech.3"
58,2015,16.6,1.2,-6.7,31.1,0,0,0,"tech.3","tech.2","tech.3"
59,2015,18.9,0.6,-6.7,31.1,0,0,0,"tech.4","tech.2","tech.1"
60,2015,6.3,3.6,-6.7,31.1,1,0,0,"tech.1","tech.2","tech.2"
61,2015,8.7,0,-6.7,31.1,0,0,0,"tech.1","tech.2","tech.3"
62,2015,19.8,0.4,-6.7,31.1,0,0,0,"tech.3","tech.2","tech.4"
63,2015,24.4,1.4,-6.7,31.1,0,0,0,"tech.1","tech.3","tech.1"
64,2015,8.5,0.1,-6.7,31.1,0,0,0,"tech.3","tech.3","tech.3"
65,2015,15.2,0.2,-6.7,31.1,0,0,0,"tech.3","tech.1","tech.3"
66,2015,10.5,5.5,-6.7,31.1,0,0,1,"tech.4","tech.4","tech.3"
67,2015,5.6,0,-6.7,31.1,0,0,0,"tech.4","tech.1","tech.2"
68,2015,16.2,3.5,-6.7,31.1,0,0,0,"tech.1","tech.1","tech.2"
69,2015,12.7,3.6,-6.7,31.1,0,0,0,"tech.4","tech.4","tech.3"
70,2015,6,6.6,-6.7,31.1,1,0,0,"tech.1","tech.3","tech.3"
71,2015,9.1,8.3,-6.7,31.1,0,0,0,"tech.4","tech.3","tech.2"
72,2015,9.3,2.2,-6.7,31.1,0,0,0,"tech.3","tech.4","tech.3"
73,2015,7.2,8.2,-6.7,31.1,1,0,0,"tech.1","tech.2","tech.3"
74,2015,10.9,4.9,-6.7,31.1,0,0,1,"tech.1","tech.2","tech.1"
75,2015,14.4,9.6,-6.7,31.1,0,1,0,"tech.1","tech.3","tech.4"
76,2015,15.2,2.5,-6.7,31.1,0,0,0,"tech.4","tech.3","tech.2"
77,2015,12.8,2.5,-6.7,31.1,0,0,0,"tech.4","tech.2","tech.1"
78,2015,33.1,0.1,-6.7,31.1,0,0,0,"tech.2","tech.1","tech.1"
79,2015,15.2,12.3,-6.7,31.1,0,1,0,"tech.1","tech.1","tech.4"
80,2015,17.5,6,-6.7,31.1,0,0,0,"tech.4","tech.2","tech.3"
81,2015,8.3,3.7,-6.7,31.1,0,0,0,"tech.2","tech.2","tech.1"
82,2015,16.3,5.6,-6.7,31.1,0,0,0,"tech.4","tech.4","tech.4"
83,2015,16.1,0.6,-6.7,31.1,0,0,1,"tech.2","tech.3","tech.2"
84,2015,5.6,10,-6.7,31.1,0,0,0,"tech.1","tech.1","tech.4"
85,2015,12.7,1.5,-6.7,31.1,0,0,0,"tech.1","tech.1","tech.4"
86,2015,4.3,2.6,-6.7,31.1,0,0,0,"tech.1","tech.2","tech.4"
87,2015,12.2,1.7,-6.7,31.1,0,0,1,"tech.2","tech.4","tech.1"
88,2015,25.8,3.7,-6.7,31.1,0,0,0,"tech.2","tech.4","tech.3"
89,2015,15.8,1.8,-6.7,31.1,0,0,0,"tech.2","tech.3","tech.1"
90,2015,2.9,0,-6.7,31.1,0,0,0,"tech.2","tech.2","tech.4"
91,2015,15.1,1.7,-6.7,31.1,0,0,0,"tech.2","tech.3","tech.4"
92,2015,18.5,1.5,-6.7,31.1,0,0,0,"tech.4","tech.4","tech.2"
93,2015,10.6,5.2,-6.7,31.1,1,1,0,"tech.1","tech.1","tech.1"
94,2015,6.1,2.7,-6.7,31.1,0,0,0,"tech.2","tech.3","tech.3"
95,2015,9.6,3.3,-6.7,31.1,0,0,0,"tech.2","tech.2","tech.2"
96,2015,12.7,10.6,-6.7,31.1,0,0,0,"tech.1","tech.2","tech.3"
97,2015,14.7,12,-6.7,31.1,0,1,0,"tech.3","tech.2","tech.3"
98,2015,10.7,5,-6.7,31.1,0,1,0,"tech.4","tech.2","tech.1"
99,2015,22.4,0.3,-6.7,31.1,0,0,0,"tech.3","tech.2","tech.4"
100,2015,12.6,2.3,-6.7,31.1,0,0,0,"tech.4","tech.2","tech.1"
